report_id,report_text,report_type,date,location,activity,hazard,barrier_failure,life_saving_rule,sif_potential,risk_score,risk_level
R0001,Worker was exposed to chemical spill without wearing respirator or protective equipment.,INCIDENT,2026-05-08,Well Pad 12,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,96,CRITICAL
R0002,Improper scaffolding was noted with no guardrail installed at elevated platform.,INCIDENT,2026-02-19,Loading Terminal,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0003,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-04-17,Site A,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0004,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-04-15,Tank Farm 3,Electrical,ELECTRICAL,,Electrical,0,62,HIGH
R0005,Worker entered confined space without atmospheric testing. No standby person was present.,NEAR_MISS,2026-05-05,Well Pad 12,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0006,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-07-04,Pipeline Section 7,Housekeeping,HOUSEKEEPING,,Permit to Work,0,27,LOW
R0007,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_ACT,2026-08-18,Site B,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,56,MEDIUM
R0008,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,NEAR_MISS,2026-06-19,Well Pad 12,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0009,Worker was not wearing safety glasses in the workshop area.,UNSAFE_CONDITION,2026-05-03,Well Pad 12,Ppe,PPE,,Permit to Work,0,28,LOW
R0010,Worker was observed working at height without a safety harness on the scaffold.,NEAR_MISS,2026-06-06,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0011,Exclusion zone was maintained and no personnel were in line of fire during the lift.,NEAR_MISS,2026-02-20,Site C - Refinery,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,56,MEDIUM
R0012,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-07-09,Well Pad 12,Electrical,ELECTRICAL,,Electrical,0,54,MEDIUM
R0013,Chemical handling was performed with full PPE and respirator worn as required.,UNSAFE_CONDITION,2026-01-26,Pipeline Section 7,Chemical,CHEMICAL,,Chemical Exposure,0,48,MEDIUM
R0014,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,UNSAFE_ACT,2026-06-07,Maintenance Yard,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0015,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,UNSAFE_ACT,2026-05-05,Well Pad 12,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0016,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,NEAR_MISS,2026-07-19,Loading Terminal,Housekeeping,HOUSEKEEPING,,Permit to Work,0,37,MEDIUM
R0017,Exclusion zone was maintained and no personnel were in line of fire during the lift.,INCIDENT,2026-02-25,Site A,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,48,MEDIUM
R0018,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-07-20,Site B,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0019,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,NEAR_MISS,2026-05-18,Site A,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0020,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-06-04,Tank Farm 3,Chemical,CHEMICAL,,Chemical Exposure,0,54,MEDIUM
R0021,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-05-17,Site C - Refinery,Vehicle,VEHICLE,,Driving,0,52,MEDIUM
R0022,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-04-05,Pipeline Section 7,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0023,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-06-16,Site A,Housekeeping,HOUSEKEEPING,,Permit to Work,0,31,MEDIUM
